case,time(s),cpu(%),memory(%),rss(MB),pss(MB),uss(MB)
normal,18.7317±0.5486,48.6068±3.1570,1.5226±0.0043,242.0994±0.6818,118.8527±0.3602,102.0541±0.3527
dynamic composition with component_container_isolated,18.9435±0.0219,40.1647±4.8537,0.4469±0.0022,71.0585±0.3446,67.7321±0.1906,64.7954±0.1925
dynamic composition with component_container_isolated2,19.0534±0.3355,36.0938±4.0020,0.4490±0.0022,71.3879±0.3457,67.6770±0.1495,64.7348±0.1490
dynamic composition with component_container_mt,18.8268±0.3348,46.2794±2.8031,0.4417±0.0023,70.2375±0.3704,66.7185±0.2717,63.7811±0.2647
manual composition,18.7109±0.4431,36.6018±4.2282,0.4309±0.0018,68.5248±0.2807,67.1393±0.1842,65.3641±0.1790
